berat,tinggi,deskripsi
44.9,168.0,Slim
102.8,144.1,Obese
58.5,161.9,Fat
67.5,163.2,Normal
43.4,186.4,Slim
77.2,154.3,Fat
115.6,163.5,Obese
85.2,161.8,Fat
98.6,164.4,Obese
56.3,168.3,Slim
45.4,175.3,Slim
63.9,164.3,Normal
51.0,164.8,Slim
82.9,163.6,Fat
84.8,170.2,Fat
92.7,168.9,Obese
92.9,164.7,Obese
45.6,159.2,Slim
90.9,177.9,Fat
94.4,160.6,Fat
86.1,167.0,Fat
50.8,176.5,Slim
88.8,167.8,Fat
102.0,168.1,Fat
94.7,180.0,Fat
60.9,171.8,Normal
70.4,163.3,Normal
71.5,171.5,Fat
60.0,161.7,Normal
96.3,162.2,Fat
77.2,170.3,Fat
62.1,163.2,Normal
57.0,156.9,Normal
40.1,161.2,Slim
80.8,175.5,Fat
101.6,162.4,Obese
92.2,161.1,Fat
92.6,160.6,Fat
86.1,160.3,Fat
105.8,160.0,Obese
87.2,179.1,Fat
69.5,174.0,Normal
54.4,170.7,Normal
80.2,173.2,Fat
85.3,174.7,Fat
76.4,151.7,Normal
56.7,163.6,Normal
99.1,168.3,Fat
107.1,155.6,Obese
49.7,167.3,Slim
83.4,161.6,Fat
89.1,158.2,Fat
103.8,161.0,Fat
87.6,175.5,Fat
100.8,154.1,Fat
64.2,169.0,Fat
110.4,167.7,Obese
83.6,180.1,Fat
55.8,167.0,Slim
50.2,163.2,Slim
60.5,167.7,Slim
71.7,166.1,Normal
96.2,165.6,Obese
51.1,161.5,Normal
68.7,163.9,Normal
70.4,164.6,Normal
49.0,178.5,Slim
110.2,163.5,Obese
79.8,154.9,Fat
91.1,169.5,Fat
68.3,173.7,Normal
78.7,162.8,Fat
78.6,171.4,Fat
87.2,164.8,Fat
53.3,176.5,Slim
53.3,170.3,Slim
95.2,164.4,Obese
69.6,164.7,Normal
46.7,184.5,Slim
42.7,154.2,Slim
71.3,165.8,Normal
64.5,155.9,Normal
104.1,151.8,Obese
102.7,161.6,Fat
75.9,147.8,Obese
122.9,162.1,Obese
65.7,160.8,Normal
69.9,161.8,Obese
59.0,160.4,Normal
86.2,168.2,Obese
94.5,167.4,Obese
60.5,161.8,Normal
65.5,151.7,Normal
59.6,157.7,Slim
82.5,165.8,Fat
75.8,168.6,Normal
71.7,167.1,Normal
60.8,173.0,Normal
91.8,154.0,Fat
56.3,161.1,Normal
84.4,154.4,Fat
48.1,170.1,Slim
50.6,174.1,Slim
75.0,166.7,Fat
66.6,171.1,Normal
67.4,178.9,Normal
76.1,178.2,Normal
52.5,181.0,Slim
102.5,167.6,Fat
76.0,175.7,Normal
53.6,166.0,Slim
100.3,161.3,Fat
93.5,160.8,Obese
70.5,173.4,Normal
80.0,162.8,Normal
81.2,154.6,Normal
48.5,171.3,Slim
95.1,170.8,Obese
57.6,165.8,Normal
50.0,164.9,Slim
83.7,166.6,Fat
70.0,156.6,Normal
66.2,169.9,Normal
32.6,178.9,Slim
66.8,169.0,Normal
83.2,151.8,Fat
59.1,167.9,Normal
46.2,174.9,Slim
103.5,167.6,Fat
79.8,167.8,Fat
61.2,160.0,Normal
57.5,178.4,Slim
68.0,164.7,Fat
95.1,165.2,Fat
62.3,179.8,Normal
84.0,174.3,Fat
88.7,167.3,Obese
56.5,180.8,Slim
63.2,177.6,Normal
46.5,171.6,Slim
53.4,161.6,Slim
52.2,193.4,Slim
85.6,165.3,Fat
58.6,170.6,Normal
76.6,156.5,Obese
82.4,172.5,Fat
61.4,163.8,Normal
63.7,180.3,Normal
73.1,170.6,Normal
51.3,170.0,Normal
84.7,166.7,Fat
92.2,172.4,Obese
66.7,174.6,Normal
57.5,155.1,Normal
92.1,166.7,Fat
53.7,164.5,Slim
53.7,172.6,Normal
46.3,179.8,Slim
40.6,164.5,Slim
40.4,166.7,Slim
71.6,162.6,Fat
79.8,162.0,Fat
44.1,181.7,Slim
65.1,172.6,Normal
59.9,164.8,Slim
86.9,177.6,Fat
88.1,165.9,Fat
59.3,169.7,Normal
77.4,171.0,Normal
52.3,165.0,Slim
99.5,153.6,Obese
46.7,185.2,Normal
82.2,178.2,Normal
95.3,162.5,Fat
95.5,171.2,Fat
63.9,164.4,Normal
63.7,170.7,Normal
75.8,174.8,Fat
60.1,157.4,Normal
108.6,158.3,Obese
68.6,163.4,Normal
93.2,169.1,Fat
129.8,165.2,Obese
110.6,156.5,Obese
113.3,151.7,Obese
109.6,151.0,Fat
62.5,168.4,Slim
62.3,177.4,Normal
61.7,176.8,Normal
119.2,170.5,Obese
62.9,163.9,Normal
64.2,170.0,Normal
95.9,173.3,Fat
78.3,174.1,Normal
85.9,171.3,Obese
91.7,164.7,Fat
43.4,168.8,Slim
105.2,164.3,Obese
63.1,192.6,Normal
42.6,167.3,Slim
104.7,167.1,Obese
41.4,178.4,Slim
75.2,170.5,Normal
42.7,164.1,Slim
41.5,175.3,Slim
44.6,173.6,Slim
89.9,149.6,Fat
60.0,164.5,Normal
78.8,163.3,Fat
68.5,177.9,Fat
49.3,185.0,Slim
61.1,168.2,Normal
75.7,172.9,Normal
45.7,174.1,Slim
73.9,164.1,Normal
89.9,171.3,Fat
84.3,169.3,Fat
93.5,156.5,Obese
91.2,164.3,Fat
69.8,162.7,Normal
82.2,171.0,Fat
86.8,169.4,Fat
86.7,161.9,Fat
100.9,164.8,Fat
84.7,167.7,Fat
68.8,166.4,Normal
67.8,163.2,Normal
65.5,161.5,Normal
85.1,155.5,Fat
51.9,172.3,Normal
56.1,146.7,Slim
102.3,160.3,Obese
117.4,168.3,Obese
75.0,162.7,Fat
81.6,170.7,Fat
51.9,175.3,Slim
81.4,156.0,Fat
72.4,172.5,Normal
66.3,164.9,Normal
62.7,182.7,Normal
94.8,163.2,Fat
77.7,163.0,Fat
49.5,177.7,Slim
79.9,169.5,Normal
63.4,161.9,Normal
119.7,164.3,Obese
95.3,165.0,Fat
42.0,178.4,Slim
66.6,172.0,Normal
70.8,161.9,Normal
115.2,158.2,Obese
56.6,174.8,Slim
60.8,174.2,Normal
67.5,168.8,Normal
51.2,164.5,Slim
59.1,181.5,Normal
54.9,181.4,Normal
51.7,172.4,Slim
61.5,174.3,Slim
50.8,161.1,Normal
61.3,175.6,Normal
124.9,169.1,Obese
56.8,168.9,Normal
80.3,178.9,Normal
53.0,154.2,Slim
60.6,161.2,Normal
60.4,176.1,Normal
68.5,161.4,Normal
105.3,149.9,Obese
37.1,153.8,Slim
93.6,172.6,Obese
81.9,157.5,Fat
87.3,168.0,Fat
58.1,160.3,Normal
65.5,156.2,Normal
50.2,165.2,Slim
64.8,180.4,Normal
60.0,170.1,Normal
115.6,168.9,Obese
42.5,182.0,Slim
62.8,165.7,Normal
99.4,154.7,Obese
58.1,174.6,Normal
89.8,169.6,Fat
51.1,176.1,Slim
66.8,157.6,Normal
44.5,162.3,Slim
50.1,156.6,Slim
105.8,165.3,Obese
83.8,162.8,Obese
95.9,166.4,Fat
61.9,153.0,Normal
44.1,164.5,Slim
72.6,168.3,Fat
92.4,160.4,Fat
91.5,166.4,Fat
110.7,166.3,Fat
61.8,156.4,Normal
92.0,159.3,Fat
64.3,157.8,Fat
91.2,157.8,Fat
51.9,183.8,Slim
64.6,184.6,Normal
67.7,172.3,Normal
136.1,163.1,Obese
114.3,167.1,Obese
66.2,166.9,Normal
118.0,153.8,Obese
71.8,161.4,Normal
48.8,180.6,Slim
57.8,165.4,Normal
53.8,169.4,Slim
55.1,155.2,Normal
85.3,160.2,Fat
89.3,176.8,Fat
63.7,175.2,Slim
116.0,167.7,Obese
114.2,166.6,Obese
59.7,163.4,Normal
84.0,177.0,Normal
89.1,174.9,Fat
101.7,168.6,Fat
96.0,161.8,Obese
67.1,159.5,Normal
69.1,173.2,Normal
45.8,181.6,Slim
67.3,170.5,Normal
73.9,173.9,Fat
107.4,161.4,Obese
53.7,151.5,Normal
92.1,168.7,Fat
83.2,166.7,Fat
121.5,167.7,Obese
77.1,163.8,Fat
55.1,167.0,Normal
96.0,162.2,Obese
53.2,168.1,Slim
51.2,162.0,Slim
102.5,168.2,Fat
89.9,161.2,Obese
55.7,171.3,Normal
70.8,166.0,Normal
62.7,161.6,Normal
55.5,188.6,Slim
45.9,165.1,Slim
63.3,167.5,Slim
119.7,161.3,Obese
67.1,163.8,Normal
69.1,161.2,Normal
86.7,170.1,Fat
67.2,165.5,Normal
61.0,173.5,Normal
103.8,155.3,Fat
61.6,164.7,Normal
43.4,147.0,Slim
143.3,157.1,Obese
61.9,167.9,Normal
67.1,162.0,Normal
43.7,169.9,Slim
69.4,167.0,Normal
75.8,161.1,Fat
45.2,168.5,Slim
51.9,171.2,Slim
54.2,185.5,Slim
54.6,168.4,Slim
95.1,169.7,Obese
93.9,173.1,Fat
101.0,163.6,Obese
60.0,169.9,Normal
113.8,159.3,Obese
68.3,159.7,Normal
42.9,174.8,Slim
59.3,149.6,Normal
57.9,173.5,Normal
80.6,145.1,Fat
67.4,162.3,Normal
97.3,152.5,Obese
99.6,160.9,Obese
70.1,157.2,Fat
51.7,185.4,Slim
86.8,163.2,Fat
56.3,186.2,Normal
50.8,180.7,Slim
72.6,153.6,Normal
56.9,177.3,Normal
57.4,175.1,Slim
94.8,171.1,Fat
97.2,158.4,Obese
77.9,164.3,Fat
69.8,160.8,Normal
51.3,165.4,Normal
108.6,178.2,Obese
70.9,173.4,Fat
103.1,168.0,Fat
99.9,163.9,Obese
104.0,172.1,Obese
45.8,157.2,Slim
66.2,180.2,Normal
123.2,156.0,Obese
104.6,170.6,Obese
80.4,166.8,Fat
106.4,163.3,Obese
102.8,161.3,Obese
52.0,175.4,Slim
118.8,166.9,Obese
73.1,162.4,Normal
55.6,172.7,Slim
60.2,160.1,Normal
58.3,169.8,Slim
44.1,176.7,Slim
46.7,172.8,Slim
64.8,159.0,Normal
65.4,155.0,Normal
50.6,157.7,Slim
59.4,168.4,Normal
67.9,160.2,Fat
84.4,155.0,Fat
57.1,164.5,Slim
70.3,168.5,Normal
69.3,166.7,Normal
67.4,175.6,Normal
70.9,175.1,Fat
129.7,166.5,Obese
68.6,161.1,Normal
106.1,156.0,Obese
95.4,150.2,Obese
61.7,172.4,Normal
122.7,171.0,Obese
66.5,161.4,Normal
75.2,165.4,Fat
72.2,170.0,Normal
98.6,173.3,Fat
53.8,166.7,Slim
57.1,174.8,Slim
49.6,155.5,Slim
59.8,176.6,Slim
50.8,160.6,Slim
42.3,175.0,Normal
35.0,169.9,Slim
67.2,160.2,Normal
84.6,164.4,Fat
66.8,167.5,Normal
53.3,168.8,Slim
93.0,156.0,Obese
56.0,164.0,Slim
84.3,166.6,Fat
55.8,160.5,Normal
56.3,170.9,Normal
47.4,174.8,Slim
105.7,160.9,Obese
46.0,170.5,Slim
82.7,173.4,Fat
84.0,160.2,Fat
79.9,177.6,Fat
68.3,162.8,Normal
55.2,175.8,Normal
103.5,162.8,Obese
55.9,156.7,Slim
66.3,167.3,Normal
102.0,172.2,Obese
66.1,166.5,Normal
48.1,171.7,Slim
62.3,177.2,Normal
70.9,170.7,Normal
79.8,163.3,Fat
74.8,166.0,Normal
68.4,169.6,Normal
72.6,156.8,Normal
101.7,163.5,Fat
61.7,172.6,Normal
96.0,175.1,Fat
110.6,176.6,Obese
61.5,153.9,Normal
48.7,184.1,Slim
78.0,156.2,Fat
60.0,176.8,Slim
46.1,173.6,Slim
111.2,164.3,Obese
65.6,174.0,Normal
42.0,163.9,Slim
98.7,160.0,Obese
49.1,160.1,Slim
108.5,168.2,Obese
45.5,183.2,Slim
105.0,160.5,Obese
59.8,172.5,Slim
82.6,157.9,Fat
116.0,158.6,Obese
76.1,162.4,Fat
55.0,159.9,Normal
103.0,165.4,Obese
72.2,150.7,Fat
84.6,169.6,Fat
65.4,155.7,Normal
65.3,167.5,Normal
106.7,165.8,Obese
63.5,173.5,Slim
51.9,179.7,Slim
81.3,160.1,Fat
94.8,162.4,Obese
116.5,172.2,Obese
60.4,158.3,Normal
52.5,173.4,Slim
50.3,188.5,Slim
92.3,167.3,Fat
51.3,180.8,Slim
87.1,169.5,Fat
97.0,164.4,Obese
87.0,169.5,Fat
68.1,171.2,Normal
49.4,179.4,Slim
55.5,189.4,Slim
76.1,173.1,Normal
73.9,161.1,Fat
72.8,168.1,Fat
61.7,161.9,Normal
99.2,166.6,Obese
39.0,157.2,Slim
91.3,164.8,Fat
84.5,166.0,Fat
81.9,160.3,Fat
44.2,163.2,Slim
110.1,157.7,Obese
96.3,170.0,Obese
104.7,170.7,Obese
55.1,162.0,Slim
112.6,159.5,Obese
52.6,171.7,Slim
91.3,172.2,Obese
53.7,170.3,Slim
108.9,174.3,Obese
45.5,168.7,Slim
61.5,169.2,Normal
68.5,172.2,Normal
51.4,181.1,Slim
69.6,158.4,Normal
80.5,172.0,Fat
56.5,166.8,Normal
84.5,164.5,Fat
58.8,165.8,Normal
50.3,179.0,Slim
120.4,162.7,Obese
102.7,162.2,Obese
112.4,169.8,Obese
55.7,166.4,Slim
54.8,164.2,Normal
53.0,175.0,Slim
59.5,174.7,Normal
59.8,170.6,Slim
47.7,176.0,Slim
79.2,174.2,Fat
49.2,163.2,Slim
111.2,159.7,Obese
68.6,163.3,Normal
74.2,169.6,Fat
72.5,160.2,Fat
96.4,148.1,Obese
63.3,160.2,Normal
63.4,167.8,Normal
46.4,188.1,Slim
102.3,165.9,Obese
41.7,171.1,Slim
43.4,156.3,Slim
87.9,165.6,Fat
50.9,175.8,Slim
65.5,164.8,Slim
65.0,167.1,Normal
52.4,173.8,Slim
43.1,174.4,Slim
72.2,167.4,Fat
86.0,168.5,Fat
72.4,156.7,Normal
64.9,168.6,Normal
67.5,175.4,Normal
58.6,180.0,Normal
67.6,174.3,Normal
91.0,165.0,Obese
59.9,173.1,Normal
68.4,172.3,Fat
94.4,176.0,Fat
67.0,174.6,Normal
81.4,164.7,Fat
48.9,160.6,Slim
96.6,171.1,Fat
49.1,173.9,Slim
85.3,175.3,Fat
70.7,154.4,Normal
57.3,167.1,Normal
79.4,161.0,Fat
53.3,161.3,Slim
65.7,176.5,Normal
99.6,158.7,Obese
79.8,164.7,Fat
70.7,173.5,Normal
52.9,178.4,Normal
78.1,167.1,Normal
70.2,161.4,Normal
87.7,172.6,Fat
97.7,164.5,Fat
64.5,159.3,Normal
82.6,158.7,Obese
59.6,172.0,Normal
126.3,159.7,Obese
60.3,174.9,Normal
85.7,162.5,Fat
51.6,179.2,Slim
57.4,174.0,Slim
57.3,162.9,Slim
60.1,163.9,Normal
55.0,185.3,Slim
71.4,166.8,Normal
63.9,168.9,Slim
86.2,166.4,Fat
111.3,167.8,Fat
102.8,160.8,Obese
65.9,165.2,Normal
68.9,183.3,Normal
70.5,168.3,Normal
43.8,161.9,Slim
48.1,166.1,Slim
95.5,167.5,Fat
38.0,172.2,Slim
77.7,165.3,Fat
112.0,160.4,Obese
67.8,173.0,Normal
52.2,158.2,Slim
89.4,161.1,Fat
64.0,163.5,Normal
106.0,175.0,Obese
51.3,177.4,Slim
63.5,161.3,Normal
58.4,164.1,Normal
70.8,175.8,Normal
118.1,160.7,Obese
97.6,168.8,Fat
88.5,148.0,Fat
75.5,169.9,Fat
82.5,169.3,Fat
71.8,171.9,Normal
72.0,172.8,Fat
50.9,170.1,Slim
82.3,169.5,Fat
127.6,171.5,Obese
64.2,159.0,Normal
51.6,174.5,Normal
86.3,162.3,Fat
44.1,159.5,Slim
81.3,170.0,Fat
65.1,166.2,Normal
70.8,172.9,Normal
92.1,162.3,Obese
104.0,161.9,Obese
49.9,157.9,Slim
86.2,168.0,Obese
90.6,161.6,Fat
110.8,153.2,Obese
80.7,161.1,Fat
118.8,160.6,Obese
71.1,179.5,Normal
64.4,160.4,Slim
55.2,182.5,Slim
60.1,167.8,Slim
54.4,175.1,Normal
108.9,156.7,Obese
40.7,170.2,Slim
69.3,168.1,Fat
41.8,177.3,Slim
83.1,170.4,Fat
67.3,170.6,Normal
91.2,177.1,Fat
48.9,169.8,Slim
106.5,162.0,Obese
48.3,180.9,Slim
79.9,177.3,Normal
63.4,172.8,Normal
73.7,177.6,Fat
92.0,161.3,Fat
58.2,183.7,Normal
66.4,169.9,Normal
71.0,179.8,Normal
92.1,161.5,Fat
109.4,161.3,Obese
89.0,170.0,Fat
87.1,161.8,Fat
70.0,173.2,Fat
127.2,166.8,Obese
67.2,161.1,Fat
45.8,175.0,Slim
54.1,158.5,Normal
55.4,189.5,Slim
87.7,174.9,Obese
63.4,177.9,Normal
81.6,165.9,Fat
67.3,183.0,Normal
76.4,172.3,Fat
68.1,182.7,Fat
62.8,163.4,Normal
84.7,160.4,Fat
58.6,182.0,Normal
56.1,180.8,Slim
75.3,168.8,Normal
52.0,172.8,Slim
75.8,172.0,Normal
78.2,159.5,Normal
75.1,168.1,Normal
101.5,174.5,Obese
89.7,156.9,Fat
62.6,168.0,Normal
